GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016
310M300US43900,43900,"Spartanburg, SC Metro Area",313268,313268,313681,314761,316643,318753,321389,324863,329136
310M300US44060,44060,"Spokane-Spokane Valley, WA Metro Area",527753,527753,528595,529942,532440,535711,540840,547392,556634
310M300US44100,44100,"Springfield, IL Metro Area",210170,210170,210507,211634,211995,211578,211537,210950,210015
310M300US44140,44140,"Springfield, MA Metro Area",621570,621705,623470,626107,626996,628057,630076,630127,630283
310M300US44180,44180,"Springfield, MO Metro Area",436712,436711,437411,440371,444693,448775,452263,456328,458930
310M300US44220,44220,"Springfield, OH Metro Area",138333,138333,138245,137754,137172,136689,136412,135815,134786
310M300US44300,44300,"State College, PA Metro Area",153990,154027,154304,154995,155936,158331,159666,160491,161464
310M300US44420,44420,"Staunton-Waynesboro, VA Metro Area",118502,118502,118351,118893,118668,119432,119842,120463,121247
310M300US44700,44700,"Stockton-Lodi, CA Metro Area",685306,685308,687380,694943,700611,703265,713218,723496,733709
310M300US44940,44940,"Sumter, SC Metro Area",107456,107463,107575,107292,107943,107870,107821,107382,107396
310M300US45060,45060,"Syracuse, NY Metro Area",662577,662625,663082,662882,661753,663196,661792,660008,656510
310M300US45220,45220,"Tallahassee, FL Metro Area",367413,368770,369355,371156,375391,373268,375595,377806,379627
310M300US45300,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",2783243,2783514,2788839,2828665,2847624,2871972,2915715,2971086,3032171
310M300US45460,45460,"Terre Haute, IN Metro Area",172425,172422,172298,172515,172510,171990,171283,170754,170687
310M300US45500,45500,"Texarkana, TX-AR Metro Area",149198,149195,149356,149605,149705,149636,149539,149847,150098
310M300US45540,45540,"The Villages, FL Metro Area",93420,93420,94280,98584,102790,108263,114012,118882,123996
310M300US45780,45780,"Toledo, OH Metro Area",610001,610001,610124,609337,608196,607728,606698,605579,605221
310M300US45820,45820,"Topeka, KS Metro Area",233870,233868,234280,234711,234495,233943,233791,233572,233068
310M300US45940,45940,"Trenton, NJ Metro Area",366513,367517,367997,368044,370087,371506,371688,371199,371023
310M300US46060,46060,"Tucson, AZ Metro Area",980263,980263,981927,987816,992490,996634,1003157,1008205,1016206
310M300US46140,46140,"Tulsa, OK Metro Area",937478,937531,939982,945936,952978,962553,969821,980459,987201
310M300US46220,46220,"Tuscaloosa, AL Metro Area",230162,230163,230453,231439,233333,235344,238084,240223,241378
310M300US46340,46340,"Tyler, TX Metro Area",209714,209721,210465,212691,214774,216515,219669,222478,225290
310M300US46520,46520,"Urban Honolulu, HI Metro Area",953207,953207,956325,966279,975909,984730,988586,993166,992605
310M300US46540,46540,"Utica-Rome, NY Metro Area",299397,299357,299262,298907,298588,297922,296815,294949,293803
310M300US46660,46660,"Valdosta, GA Metro Area",139588,139663,140081,142173,144352,143192,143785,143746,144676
310M300US46700,46700,"Vallejo-Fairfield, CA Metro Area",413344,413344,414034,416486,419881,423972,429601,434321,440207
310M300US47020,47020,"Victoria, TX Metro Area",94003,94003,94084,94671,96405,97521,98584,99763,99984
310M300US47220,47220,"Vineland-Bridgeton, NJ Metro Area",156898,156628,156598,157000,157071,156264,156346,155241,153797
310M300US47260,47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",1676822,1676817,1679971,1686878,1698219,1706348,1717186,1723468,1726907
310M300US47300,47300,"Visalia-Porterville, CA Metro Area",442179,442182,443083,447384,450701,453354,456115,458238,460437
310M300US47380,47380,"Waco, TX Metro Area",252772,252769,253819,255615,256939,258633,260155,262361,265207
310M300US47460,47460,"Walla Walla, WA Metro Area",62859,62859,63029,63511,63396,63512,63626,64087,64278
310M300US47580,47580,"Warner Robins, GA Metro Area",179605,179605,180420,183565,185536,186432,187530,187990,190028
310M300US47900,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",5636232,5636416,5666655,5777111,5870500,5957037,6020777,6078469,6131977
310M300US47940,47940,"Waterloo-Cedar Falls, IA Metro Area",167819,167819,167919,168302,168678,169692,170210,170691,170015
310M300US48060,48060,"Watertown-Fort Drum, NY Metro Area",116229,116232,116571,118161,120730,119112,118724,117260,114006
310M300US48140,48140,"Wausau, WI Metro Area",134063,134063,134066,134509,134621,135242,135589,135782,135603
