GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017
310M300US37580,37580,"Paris, TX Micro Area",49793,49789,49816,49863,49684,49093,49393,49367,49565,49587
310M300US37660,37660,"Parsons, KS Micro Area",21607,21610,21538,21380,21169,20878,20781,20632,20330,20145
310M300US37740,37740,"Payson, AZ Micro Area",53597,53597,53572,53422,52973,52982,53008,52935,53297,53501
310M300US37780,37780,"Pecos, TX Micro Area",13783,13783,13831,13799,13959,14189,14509,14906,15069,15281
310M300US37800,37800,"Pella, IA Micro Area",33309,33309,33225,33262,33266,33010,33260,33109,33149,33105
310M300US37940,37940,"Peru, IN Micro Area",36903,36908,36812,36649,36536,36171,36078,36012,36067,35845
310M300US38100,38100,"Picayune, MS Micro Area",55834,55747,55699,55432,54996,54830,55130,54941,55072,55270
310M300US38180,38180,"Pierre, SD Micro Area",21361,21356,21423,21665,21841,21849,22019,21935,22020,22084
310M300US38240,38240,"Pinehurst-Southern Pines, NC Micro Area",88247,88246,88591,89273,90216,91411,92847,94040,95392,97264
310M300US38260,38260,"Pittsburg, KS Micro Area",39134,39135,39176,39184,39313,39227,39208,39032,38992,39034
310M300US38380,38380,"Plainview, TX Micro Area",36273,36227,36291,36398,36269,35703,34490,34099,34209,34134
310M300US38420,38420,"Platteville, WI Micro Area",51208,51208,51235,51179,50876,50985,51676,52057,51993,51999
310M300US38460,38460,"Plattsburgh, NY Micro Area",82128,82131,82096,81731,81744,81585,81549,81032,80973,80980
310M300US38500,38500,"Plymouth, IN Micro Area",47051,47047,46996,46928,46932,46910,46938,46761,46652,46498
310M300US38580,38580,"Point Pleasant, WV-OH Micro Area",58258,58272,58422,58315,58062,57735,57468,57130,56905,56774
310M300US38620,38620,"Ponca City, OK Micro Area",46562,46562,46433,45853,45695,45562,45492,45282,44983,44544
310M300US38700,38700,"Pontiac, IL Micro Area",38950,38950,38858,38799,38508,37389,37012,36668,36475,36518
310M300US38740,38740,"Poplar Bluff, MO Micro Area",42794,42794,42787,42985,42988,42969,42865,42840,42789,42666
310M300US38780,38780,"Portales, NM Micro Area",19846,19840,20022,20415,20300,19969,19602,19064,19082,18847
310M300US38820,38820,"Port Angeles, WA Micro Area",71404,71404,71502,71750,71764,72052,72438,73133,74098,75474
310M300US38840,38840,"Port Clinton, OH Micro Area",41428,41434,41358,41313,41240,41032,40903,40758,40495,40657
310M300US38920,38920,"Port Lavaca, TX Micro Area",21381,21381,21311,21356,21575,21735,21805,21881,21942,21744
310M300US39020,39020,"Portsmouth, OH Micro Area",79499,79497,79500,79226,78604,78103,77280,76805,76240,75929
310M300US39060,39060,"Pottsville, PA Micro Area",148289,148289,148267,147461,147023,146490,145157,143885,143335,142569
310M300US39220,39220,"Price, UT Micro Area",21403,21403,21404,21306,21230,20908,20621,20366,20371,20295
310M300US39260,39260,"Prineville, OR Micro Area",20978,20978,20884,20626,20598,20693,20958,21469,22344,23123
310M300US39420,39420,"Pullman, WA Micro Area",44776,44778,44761,44977,46546,46728,46753,47914,48528,49046
310M300US39500,39500,"Quincy, IL-MO Micro Area",77314,77312,77375,77418,77255,77107,77111,77149,76756,76201
310M300US39700,39700,"Raymondville, TX Micro Area",22134,22137,22225,22166,22198,22027,21943,21882,21760,21584
310M300US39780,39780,"Red Bluff, CA Micro Area",63463,63440,63563,63347,63241,62916,62820,63128,63444,63926
310M300US39860,39860,"Red Wing, MN Micro Area",46183,46182,46212,46103,46148,46110,46003,46033,46240,46304
310M300US39940,39940,"Rexburg, ID Micro Area",50778,50787,50820,50978,50604,50386,50693,50669,51669,52235
310M300US39980,39980,"Richmond, IN Micro Area",68917,69003,68894,68631,68220,67782,67353,66949,66591,66185
310M300US40080,40080,"Richmond-Berea, KY Micro Area",99972,99972,100549,101879,102454,102652,103885,105089,106408,107924
310M300US40100,40100,"Rio Grande City, TX Micro Area",60968,60968,61145,61582,61823,62290,62914,63512,63931,64454
310M300US40180,40180,"Riverton, WY Micro Area",40123,40123,40195,40520,41022,40911,40573,40237,40245,39803
310M300US40260,40260,"Roanoke Rapids, NC Micro Area",76790,76735,76515,76045,75040,74089,73547,72786,72037,71172
310M300US40300,40300,"Rochelle, IL Micro Area",53497,53497,53422,53065,52790,52299,51967,51598,51168,51063
310M300US40460,40460,"Rockingham, NC Micro Area",46639,46642,46625,46653,46367,46154,45792,45436,45054,44798
