GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016
310M300US33060,33060,"Miami, OK Micro Area",31848,31848,31840,31904,32225,32230,32037,31928,31691
310M300US33180,33180,"Middlesborough, KY Micro Area",28691,28691,28710,28635,28247,27971,27750,27294,27117
310M300US33300,33300,"Milledgeville, GA Micro Area",55149,55237,55113,54501,55534,55069,54381,54009,53784
310M300US33420,33420,"Mineral Wells, TX Micro Area",28111,28122,28071,28108,27846,27852,27978,27882,28053
310M300US33500,33500,"Minot, ND Micro Area",69540,69540,69986,72340,73891,76540,78131,79911,78723
310M300US33580,33580,"Mitchell, SD Micro Area",22835,22835,22840,22983,23170,23198,23245,23179,23277
310M300US33620,33620,"Moberly, MO Micro Area",25414,25414,25440,25258,25313,24941,25071,25090,24989
310M300US33940,33940,"Montrose, CO Micro Area",41276,41278,41194,40897,40678,40634,40747,40800,41471
310M300US33980,33980,"Morehead City, NC Micro Area",66469,66468,66696,67358,67738,68441,68751,68863,68890
310M300US34020,34020,"Morgan City, LA Micro Area",54650,54650,54542,54149,53554,53531,53234,52854,52093
310M300US34140,34140,"Moscow, ID Micro Area",37244,37242,37276,37884,38187,38274,38583,38723,39196
310M300US34180,34180,"Moses Lake, WA Micro Area",89120,89120,89628,90702,91486,91772,92723,93124,93546
310M300US34220,34220,"Moultrie, GA Micro Area",45498,45497,45641,45840,46163,46300,46085,45755,45708
310M300US34260,34260,"Mountain Home, AR Micro Area",41513,41513,41539,41280,41068,40962,40797,41070,41062
310M300US34300,34300,"Mountain Home, ID Micro Area",27038,27038,27117,26215,26265,26236,26208,25790,26018
310M300US34340,34340,"Mount Airy, NC Micro Area",73673,73748,73770,73632,73485,72890,72798,72548,72113
310M300US34380,34380,"Mount Pleasant, MI Micro Area",70311,70311,70312,70661,70660,70177,70059,70690,71282
310M300US34420,34420,"Mount Pleasant, TX Micro Area",32334,32334,32400,32420,32654,32602,32421,32689,32592
310M300US34460,34460,"Mount Sterling, KY Micro Area",44396,44398,44524,44878,45019,45605,45859,46255,46506
310M300US34500,34500,"Mount Vernon, IL Micro Area",38827,38825,38762,38759,38666,38657,38442,38390,38460
310M300US34540,34540,"Mount Vernon, OH Micro Area",60921,60930,61087,61285,60790,60843,60970,60973,60814
310M300US34660,34660,"Murray, KY Micro Area",37191,37191,37363,37675,38057,38293,38282,38441,38437
310M300US34700,34700,"Muscatine, IA Micro Area",42745,42749,42735,42767,42884,42941,42961,43017,42940
310M300US34780,34780,"Muskogee, OK Micro Area",70990,70988,71102,70744,70531,70219,69879,69591,69477
310M300US34860,34860,"Nacogdoches, TX Micro Area",64524,64524,64667,65647,65854,65199,65278,65641,65806
310M300US35020,35020,"Natchez, MS-LA Micro Area",53119,53119,53389,53233,52638,52554,52326,51489,51168
310M300US35060,35060,"Natchitoches, LA Micro Area",39566,39566,39525,39538,39491,39225,39275,39137,39162
310M300US35140,35140,"Newberry, SC Micro Area",37508,37508,37581,37516,37561,37487,37725,37896,38079
310M300US35220,35220,"New Castle, IN Micro Area",49462,49462,49487,49354,49256,49035,49057,48894,48521
310M300US35260,35260,"New Castle, PA Micro Area",91108,91140,90971,90322,89713,89120,88476,88036,87294
310M300US35420,35420,"New Philadelphia-Dover, OH Micro Area",92582,92582,92560,92514,92452,92683,92637,92702,92420
310M300US35440,35440,"Newport, OR Micro Area",46034,46032,45990,45861,46158,46257,46269,46936,47806
310M300US35460,35460,"Newport, TN Micro Area",35662,35642,35644,35372,35450,35287,35230,35096,35219
310M300US35500,35500,"Newton, IA Micro Area",36842,36842,36819,36631,36566,36743,36830,36729,36708
310M300US35580,35580,"New Ulm, MN Micro Area",25893,25893,25856,25665,25412,25279,25295,25317,25331
310M300US35700,35700,"Nogales, AZ Micro Area",47420,47420,47409,47600,47321,46903,46387,46137,45985
310M300US35740,35740,"Norfolk, NE Micro Area",48271,48271,48322,48390,48405,48482,48441,48185,48118
310M300US35820,35820,"North Platte, NE Micro Area",37590,37590,37568,37360,37277,37309,36945,36871,36815
310M300US35860,35860,"North Vernon, IN Micro Area",28525,28525,28474,28195,28182,28279,27985,27913,27758
310M300US35900,35900,"North Wilkesboro, NC Micro Area",69340,69305,69195,69189,69279,69073,68827,68519,68740
310M300US35940,35940,"Norwalk, OH Micro Area",59626,59626,59578,59395,59243,58832,58639,58366,58439
310M300US36020,36020,"Oak Harbor, WA Micro Area",78506,78506,78708,79005,79274,78593,79266,80796,82636
310M300US36300,36300,"Ogdensburg-Massena, NY Micro Area",111944,111941,111821,112468,112621,112253,111800,110935,110038
310M300US36340,36340,"Oil City, PA Micro Area",54984,54983,54963,54713,54232,53905,53479,53101,52582
310M300US36380,36380,"Okeechobee, FL Micro Area",39996,39996,40028,39449,39287,38989,39101,39409,40314
310M300US36460,36460,"Olean, NY Micro Area",80317,80343,80249,79839,79365,78958,78621,77909,77677
310M300US36580,36580,"Oneonta, NY Micro Area",62259,62239,62192,61982,61805,61558,60907,60530,60097
310M300US36620,36620,"Ontario, OR-ID Micro Area",53936,53935,53985,53351,53291,53186,53131,53160,53465
310M300US36660,36660,"Opelousas, LA Micro Area",83384,83387,83495,83422,83490,83510,83823,83790,83883
310M300US36700,36700,"Orangeburg, SC Micro Area",92501,92495,92292,91713,91397,90598,89886,88869,87903
310M300US36820,36820,"Oskaloosa, IA Micro Area",22381,22381,22401,22510,22419,22403,22326,22291,22181
310M300US36830,36830,"Othello, WA Micro Area",18728,18728,18809,18875,18925,19061,19127,19150,19238
310M300US36840,36840,"Ottawa, KS Micro Area",25992,25996,26009,25879,25859,25770,25567,25559,25560
