GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017,respop72018
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018
310M400US14780,14780,"Brenham, TX Micro Area",33718,33695,33703,33955,33928,34201,34404,34833,34736,34897,35108
310M400US14820,14820,"Brevard, NC Micro Area",33090,33091,33087,32804,32833,32828,32954,33167,33406,33825,34215
310M400US15020,15020,"Brookhaven, MS Micro Area",34869,34870,34901,34870,34848,34728,34739,34524,34373,34320,34205
310M400US15060,15060,"Brookings, OR Micro Area",22364,22365,22378,22486,22257,22225,22140,22296,22611,22676,22813
310M400US15100,15100,"Brookings, SD Micro Area",31965,31962,31995,32133,32764,33011,33248,33796,34250,34668,35232
310M400US15140,15140,"Brownsville, TN Micro Area",18787,18807,18812,18537,18247,18211,18173,17985,17807,17596,17335
310M400US15220,15220,"Brownwood, TX Micro Area",38106,38106,38078,37998,37811,37673,37555,37749,38074,37870,37924
310M400US15340,15340,"Bucyrus, OH Micro Area",43784,43783,43754,43306,42774,42712,42406,42320,42090,41741,41550
310M400US15420,15420,"Burley, ID Micro Area",43021,43019,43162,43316,43426,43760,43866,43951,44148,44493,44689
310M400US15460,15460,"Burlington, IA-IL Micro Area",47656,47653,47584,47276,47268,47352,47103,46857,46474,46139,45847
310M400US15580,15580,"Butte-Silver Bow, MT Micro Area",34200,34209,34233,34405,34477,34580,34758,34691,34714,34915,34993
310M400US15620,15620,"Cadillac, MI Micro Area",47584,47586,47557,47541,47527,47537,47830,47778,48111,48287,48579
310M400US15660,15660,"Calhoun, GA Micro Area",55186,55186,55222,55478,55651,55731,55815,56329,56933,57187,57685
310M400US15700,15700,"Cambridge, MD Micro Area",32618,32623,32688,32694,32473,32559,32495,32404,32261,32145,31998
310M400US15740,15740,"Cambridge, OH Micro Area",40087,40091,40142,39902,39871,39703,39689,39386,39201,39071,39022
310M400US15780,15780,"Camden, AR Micro Area",31488,31496,31409,30980,30679,30145,29931,29522,29157,29048,28883
310M400US15820,15820,"Campbellsville, KY Micro Area",24512,24500,24664,24985,25071,25162,25362,25583,25442,25562,25549
310M400US15860,15860,"Cañon City, CO Micro Area",46824,46824,46835,47379,47060,46310,46133,46267,46982,47607,48021
310M400US15900,15900,"Canton, IL Micro Area",37069,37069,37074,36907,36585,36322,35990,35707,35455,35095,34844
310M400US16100,16100,"Carlsbad-Artesia, NM Micro Area",53829,53823,53901,54056,54416,55668,56690,57724,57667,57205,57900
310M400US16140,16140,"Carroll, IA Micro Area",20816,20816,20823,20857,20655,20542,20498,20419,20377,20273,20154
310M400US16260,16260,"Cedar City, UT Micro Area",46163,46163,46263,46615,46644,46527,47045,48120,49692,50822,52775
310M400US16340,16340,"Cedartown, GA Micro Area",41475,41479,41530,41262,41086,40959,40866,41233,41625,41910,42470
310M400US16380,16380,"Celina, OH Micro Area",40814,40814,40786,40708,40700,40614,40730,40720,40713,40910,40959
310M400US16420,16420,"Central City, KY Micro Area",31499,31499,31658,31530,31390,31330,31308,31249,31151,30923,30774
310M400US16460,16460,"Centralia, IL Micro Area",39437,39437,39419,39140,39009,38672,38558,38366,38055,37821,37620
310M400US16500,16500,"Centralia, WA Micro Area",75455,75457,75505,75660,75435,74967,74858,75419,76622,78230,79604
310M400US16660,16660,"Charleston-Mattoon, IL Micro Area",64921,64921,64921,64699,64263,63957,63446,63020,62635,62212,61693
310M400US17060,17060,"Chillicothe, OH Micro Area",78064,78078,78102,77573,77339,77276,77093,77050,76862,77320,76931
310M400US17200,17200,"Claremont-Lebanon, NH-VT Micro Area",218466,218478,218437,218401,217912,217806,217694,216995,217326,217272,217215
310M400US17220,17220,"Clarksburg, WV Micro Area",94196,94197,94346,94484,94371,94452,94251,94168,93879,93362,92822
310M400US17260,17260,"Clarksdale, MS Micro Area",26151,26145,26106,25850,25617,25183,24843,24509,23843,23185,22628
