GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017
0200000US1,1,Northeast Region,55317240,55318350,55388349,55642659,55860261,56047732,56203078,56296628,56359360,56470581
0200000US2,2,Midwest Region,66927001,66929794,66973360,67141501,67318295,67534451,67720120,67839187,67978168,68179351
0200000US3,3,South Region,114555744,114563024,114869241,116060993,117291728,118422269,119699966,121081238,122423457,123658624
0200000US4,4,West Region,71945553,71946937,72107471,72799127,73522988,74230053,74999361,75822786,76644950,77410622
