GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017,respop72018
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018
0200000US1,1,Northeast Region,55317240,55318430,55380645,55600532,55776729,55907823,56015864,56047587,56058789,56072676,56111079
0200000US2,2,Midwest Region,66927001,66929743,66974749,67152631,67336937,67564135,67752238,67869139,67996917,68156035,68308744
0200000US3,3,South Region,114555744,114563045,114867066,116039399,117271075,118393244,119657737,121037542,122401186,123598424,124753948
0200000US4,4,West Region,71945553,71946887,72103625,72787447,73489477,74192525,74960582,75788405,76614450,77319986,77993663
