GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016
0200000US1,1,Northeast Region,55317240,55318353,55388056,55632766,55829059,55988771,56116791,56184737,56209510
0200000US2,2,Midwest Region,66927001,66929825,66978602,67153331,67332320,67543948,67726368,67838387,67941429
0200000US3,3,South Region,114555744,114563005,114863114,116061801,117299171,118424320,119696311,121039206,122319574
0200000US4,4,West Region,71945553,71946922,72118421,72815460,73537829,74247869,75023986,75834288,76657000
